4.0558 	WARNING 	Movie2 stim could not be imported and won't be available
65.0146 	EXP 	text_8: text = u'A'
65.0146 	EXP 	text_8: autoDraw = True
66.0026 	EXP 	New trial (rep=0, index=12): {'letters': u'K', 'correctButton': -1}
66.0176 	EXP 	text_8: autoDraw = False
66.0176 	EXP 	text_8: autoDraw = False
66.0176 	EXP 	text_7: autoDraw = True
68.0235 	EXP 	text_7: autoDraw = False
68.0235 	EXP 	text_7: autoDraw = False
68.0235 	EXP 	text_8: text = u'K'
68.0235 	EXP 	text_8: autoDraw = True
69.0114 	EXP 	New trial (rep=0, index=13): {'letters': u'A', 'correctButton': 1}
69.0265 	EXP 	text_8: autoDraw = False
69.0265 	EXP 	text_8: autoDraw = False
69.0265 	EXP 	text_7: autoDraw = True
71.0325 	EXP 	text_7: autoDraw = False
71.0325 	EXP 	text_7: autoDraw = False
71.0325 	EXP 	text_8: text = u'A'
71.0325 	EXP 	text_8: autoDraw = True
72.0203 	EXP 	New trial (rep=0, index=14): {'letters': u'K', 'correctButton': 1}
72.0354 	EXP 	text_8: autoDraw = False
72.0354 	EXP 	text_8: autoDraw = False
72.0354 	EXP 	text_7: autoDraw = True
74.0414 	EXP 	text_7: autoDraw = False
74.0414 	EXP 	text_7: autoDraw = False
74.0414 	EXP 	text_8: text = u'K'
74.0414 	EXP 	text_8: autoDraw = True
75.0292 	EXP 	New trial (rep=0, index=15): {'letters': u'A', 'correctButton': 1}
75.0444 	EXP 	text_8: autoDraw = False
75.0444 	EXP 	text_8: autoDraw = False
75.0444 	EXP 	text_7: autoDraw = True
77.0503 	EXP 	text_7: autoDraw = False
77.0503 	EXP 	text_7: autoDraw = False
77.0503 	EXP 	text_8: text = u'A'
77.0503 	EXP 	text_8: autoDraw = True
78.0382 	EXP 	New trial (rep=0, index=16): {'letters': u'Q', 'correctButton': -1}
78.0533 	EXP 	text_8: autoDraw = False
78.0533 	EXP 	text_8: autoDraw = False
78.0533 	EXP 	text_7: autoDraw = True
80.0759 	EXP 	text_7: autoDraw = False
80.0759 	EXP 	text_7: autoDraw = False
80.0759 	EXP 	text_8: text = u'Q'
80.0759 	EXP 	text_8: autoDraw = True
81.0637 	EXP 	New trial (rep=0, index=17): {'letters': u'W', 'correctButton': -1}
81.0789 	EXP 	text_8: autoDraw = False
81.0789 	EXP 	text_8: autoDraw = False
81.0789 	EXP 	text_7: autoDraw = True
82.0488 	DATA 	Keypress: escape
83.0848 	EXP 	text_7: autoDraw = False
83.0848 	EXP 	text_7: autoDraw = False
83.0848 	EXP 	text_8: text = u'W'
83.0848 	EXP 	text_8: autoDraw = True
83.8208 	DATA 	Keypress: escape
